Alloy,Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,creep_life
110,62.4882,0,7.6,4.2,3.5,6,1.5,9.8,4.7,0.06,0.0018,0,0,0.15,2,4,16,1265,1079,899,1093,82.8,4.5
111,62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,760,621,184.4
112,62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,871,379.5,69.2
113,62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,982,179.4,65.6
114,62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,1093,82.8,9.1
115,62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,760,621,92.5
116,62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,871,379.5,133.8
117,62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,982,179.4,50
118,62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,1093,82.8,2.9
119,62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,2,4,16,1265,1079,899,760,621,92.4
120,62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,2,4,16,1265,1079,899,871,379.5,54.1
121,62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,2,4,16,1265,1079,899,982,179.4,98.1
122,60.0695,3,9.5,5.6,0.6,6.4,0.6,6.5,7.5,0.025,0.0055,0,0,0.2,2,4,20,1310,1145,870,950,250,880
123,57.9135,3.2,10,5.8,0.9,6.6,0.7,6.8,7.8,0.03,0.0065,0,0,0.25,2,4,20,1310,1145,870,950,250,895
124,63.1235,2.7,8,5.5,0.5,6.2,0.5,6.1,7.2,0.022,0.0045,0,0,0.15,2,4,20,1310,1145,870,950,250,847
125,59.27,3,9.5,5.6,0.6,6.5,0.6,6.5,8.2,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,250,947
126,60.67,3,9.5,5.7,0.6,6.5,0.6,6.5,6.7,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,250,918
127,60.72,2.9,9.7,5.65,1,6.4,0.6,6.4,6.5,0.03,0,0,0,0.1,2,4,20,1310,1145,870,950,250,1018
128,60.0695,3,9.5,5.6,0.6,6.4,0.6,6.5,7.5,0.025,0.0055,0,0,0.2,2,4,20,1310,1145,870,950,200,2388
129,57.9135,3.2,10,5.8,0.9,6.6,0.7,6.8,7.8,0.03,0.0065,0,0,0.25,2,4,20,1310,1145,870,950,200,2467
130,63.1235,2.7,8,5.5,0.5,6.2,0.5,6.1,7.2,0.022,0.0045,0,0,0.15,2,4,20,1310,1145,870,950,200,2138
131,59.27,3,9.5,5.6,0.6,6.5,0.6,6.5,8.2,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,200,2280
132,60.67,3,9.5,5.7,0.6,6.5,0.6,6.5,6.7,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,200,2203
133,57.4135,3.2,10,6,1,6.6,0.7,7,7.8,0.03,0.0065,0,0,0.25,2,4,20,1310,1145,870,950,200,2250
134,64.5235,2.5,7.8,5.3,0.4,6,0.5,5.8,7,0.022,0.0045,0,0,0.15,2,4,20,1310,1145,870,950,200,1990
135,60.72,2.9,9.7,5.65,1,6.4,0.6,6.4,6.5,0.03,0,0,0,0.1,2,4,20,1310,1145,870,950,190,2438
136,60.0695,3,9.5,5.6,0.6,6.4,0.6,6.5,7.5,0.025,0.0055,0,0,0.2,2,4,20,1310,1145,870,950,165,6815
137,57.9135,3.2,10,5.8,0.9,6.6,0.7,6.8,7.8,0.03,0.0065,0,0,0.25,2,4,20,1310,1145,870,950,165,6910
138,63.1235,2.7,8,5.5,0.5,6.2,0.5,6.1,7.2,0.022,0.0045,0,0,0.15,2,4,20,1310,1145,870,950,165,6050
139,59.27,3,9.5,5.6,0.6,6.5,0.6,6.5,8.2,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,165,5040
140,60.67,3,9.5,5.7,0.6,6.5,0.6,6.5,6.7,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,165,5180
141,57.4135,3.2,10,6,1,6.6,0.7,7,7.8,0.03,0.0065,0,0,0.25,2,4,20,1310,1145,870,950,165,4430
142,64.5235,2.5,7.8,5.3,0.4,6,0.5,5.8,7,0.022,0.0045,0,0,0.15,2,4,20,1310,1145,870,950,165,3690
143,60.72,2.9,9.7,5.65,1,6.4,0.6,6.4,6.5,0.03,0,0,0,0.1,2,4,20,1310,1145,870,950,165,4760
144,59.27,3,9.5,5.6,0.6,6.5,0.6,6.5,8.2,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,140,11700
145,60.67,3,9.5,5.7,0.6,6.5,0.6,6.5,6.7,0.025,0.005,0,0,0.2,2,4,20,1310,1145,870,950,140,12614
146,63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,94.5
147,62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,87
148,63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,86.8
149,63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,66.7
150,64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,54.2
151,65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,56.3
152,60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,85.6
153,63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,75.7
154,64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,871,552,55.6
155,63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,22
156,63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,62.2
157,64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,101.9
158,67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,35.1
159,64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,53.8
160,62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,57.9
161,65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,76.5
162,64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,103.9
163,64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,871,552,24.8
164,65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,84.3
165,64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,147.4
166,63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,257.2
167,63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,114.3
168,64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,871,552,64.2
169,65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,22.3
170,61.281,2,10,6.5,0,6.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,97.1
171,61.281,3,10,6.5,0,5.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,74
172,61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,113.1
173,60.581,3,10,6.2,0,5,1.5,7,6.5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,6.7
174,60.081,2.5,10,6.2,0,6,1.5,7,6.5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,119.1
175,59.546,2,10,6.2,0,7,1.5,7,6.5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,871,552,110
176,60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,59.8
177,60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,92.7
178,60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,90.1
179,71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,871,552,96.5
180,62.781,3,10,7,0,5.5,1.5,6,4,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,119.2
181,74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,43.5
182,63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,68.5
183,62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,44.5
184,63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,63.1
185,63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,67.1
186,64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,103
187,65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,56.3
