Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,creep_life
57.9135,3.2,10,5.8,0.9,6.6,0.7,6.8,7.8,0.03,0.0065,0,0,0.25,895
61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,917
60.67,3,9.5,5.7,0.6,6.5,0.6,6.5,6.7,0.025,0.005,0,0,0.2,918
59.27,3,9.5,5.6,0.6,6.5,0.6,6.5,8.2,0.025,0.005,0,0,0.2,947
61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,953
60.72,2.9,9.7,5.65,1,6.4,0.6,6.4,6.5,0.03,0,0,0,0.1,1018
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,1423
61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,1469
64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,1592
63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,1648
59.9,0,7.3,5.3,0,18.6,0,5.5,3.4,0,0,0,0,0,1707
60.1,0,7.5,5.2,0,16.6,0,5.5,5.1,0,0,0,0,0,1751
66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,1752
67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,1803
66.4,0,0,5.3,0,8.7,0,9.2,10.4,0,0,0,0,0,1827
67.7,0,0,5.2,0,12.8,0,6.6,7.7,0,0,0,0,0,1920
64.5235,2.5,7.8,5.3,0.4,6,0.5,5.8,7,0.022,0.0045,0,0,0.15,1990
63.1235,2.7,8,5.5,0.5,6.2,0.5,6.1,7.2,0.022,0.0045,0,0,0.15,2138
60.67,3,9.5,5.7,0.6,6.5,0.6,6.5,6.7,0.025,0.005,0,0,0.2,2203
57.4135,3.2,10,6,1,6.6,0.7,7,7.8,0.03,0.0065,0,0,0.25,2250
59.27,3,9.5,5.6,0.6,6.5,0.6,6.5,8.2,0.025,0.005,0,0,0.2,2280
60.0695,3,9.5,5.6,0.6,6.4,0.6,6.5,7.5,0.025,0.0055,0,0,0.2,2388
60.72,2.9,9.7,5.65,1,6.4,0.6,6.4,6.5,0.03,0,0,0,0.1,2438
57.9135,3.2,10,5.8,0.9,6.6,0.7,6.8,7.8,0.03,0.0065,0,0,0.25,2467
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,2537
61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,2568
64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,2696
63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,2721
66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,3054
67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,3243
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,3427
